Sales,Land.value,Improvement.value,Neighbourhood
378,81.84,243.3,Cheval
273,60.48,134.47,Cheval
321.2,115.58,255.42,Cheval
395,119.61,202.05,Cheval
272,84.69,133.58,Cheval
350,78.69,154.7,Cheval
315,59.85,148.29,Cheval
220,59.25,176.31,Cheval
280,85.68,147.06,Cheval
274.9,57.96,129.07,Cheval
219.9,63.92,104.77,Cheval
295,45.36,121.01,Cheval
250,65.28,133.21,Cheval
295,69.55,156.44,Cheval
327,72.5,166.94,Cheval
445,84.56,235.96,Cheval
420,84.15,234.3,Cheval
327,112.38,185.57,Cheval
382.5,81.23,217.98,Cheval
242,61.48,110.28,Cheval
242,49.99,109.06,Cheval
510,71.28,224.38,Cheval
285,63.82,158.83,Cheval
400,68.31,194.69,Cheval
323,61.06,206.32,Cheval
347,62.96,208.73,Cheval
375,67.42,173.74,Cheval
383,65.51,221.34,Cheval
1000,207,523.79,Cheval
498.9,163.3,311.76,Cheval
626,161.78,306.67,Cheval
850,166.53,335.54,Cheval
665,152.18,348.2,Cheval
510,130.64,332.09,Cheval
334,62.76,170.91,Cheval
500,91.32,296.02,Cheval
825,117.01,451.41,Cheval
515,117.72,347.87,Cheval
520,107.06,329.93,Cheval
780,157.29,507.85,Cheval
825,131.89,466.27,Cheval
841,159.84,443.29,Cheval
1140,157.49,563.91,Cheval
460,59.36,206.84,Cheval
285,39.75,166.61,HuntersGreen
350,54,227.43,HuntersGreen
314.5,48.84,187.13,HuntersGreen
183,34.75,158.05,HuntersGreen
200,29.1,145.8,HuntersGreen
775,142.27,350.43,HuntersGreen
505,99.62,306.43,HuntersGreen
425,47.52,225.74,HuntersGreen
335,49.01,217.35,HuntersGreen
760,96.1,335.59,HuntersGreen
410,75.79,274.22,HuntersGreen
335,67.22,273.66,HuntersGreen
840,68.22,375.02,HuntersGreen
430,57.77,297.55,HuntersGreen
204,36.44,157.48,HuntersGreen
275,47.61,176.14,HuntersGreen
330,40.56,222.64,HuntersGreen
202,32.53,111.33,HuntersGreen
200,31.68,121.46,HuntersGreen
256,30.6,146.73,HuntersGreen
248,30.3,138.84,HuntersGreen
200,38.81,114.06,HuntersGreen
319,49.36,184.43,HuntersGreen
305,50.22,172.64,HuntersGreen
340,39.84,180.05,HuntersGreen
185,39.08,117.11,HuntersGreen
210,35.51,125.71,HuntersGreen
212,38.09,101.98,HuntersGreen
260,40.3,212.92,HuntersGreen
295,48.58,246.91,HuntersGreen
181,33.75,100.12,HuntersGreen
195,38.77,118.26,HuntersGreen
253,38.77,113.99,HuntersGreen
212,38.77,114.19,HuntersGreen
210,31.2,126.19,HuntersGreen
245,31.2,130.12,HuntersGreen
195,35.39,120.58,HuntersGreen
499.9,46.69,292.18,HuntersGreen
407,63.03,268.38,HuntersGreen
320,45.45,266.03,HuntersGreen
335,77,219.76,HuntersGreen
325,37.5,216.75,HuntersGreen
1025,153.28,533.28,HuntersGreen
